expr,direction_by_ic_mean,bars,total_return,ann_return,ann_vol,sharpe,max_drawdown,win_rate,avg_win,avg_loss
"gp_mean6(alpha065, alpha013, alpha191, alpha022, alpha013, alpha120)",long_top/short_bottom,3264,-0.06265813112258911,-0.06895154267795056,0.13031230293191162,-0.5291253483101886,-0.19923019409179688,0.5061274509803921,0.0012159347534179688,-0.0012819847324863076
gp_decay_05(alpha191),long_top/short_bottom,3264,-0.08682495355606079,-0.09720114746780062,0.1409930340514785,-0.6894038994317346,-0.16651731729507446,0.5027573529411765,0.0012902391608804464,-0.0013555511832237244
"gp_mean7(alpha111, alpha054, alpha038, alpha111, 11.791766405321367, alpha146, alpha166)",long_top/short_bottom,3264,-0.08580493927001953,-0.09684083594728321,0.13390356900178213,-0.7232132546518932,-0.20020562410354614,0.5196078431372549,0.001150326570495963,-0.0012968163937330246
"gp_mean5(gp_log(alpha054), alpha111, gp_mean6(alpha191, alpha135, alpha038, alpha054, alpha022, alpha184), alpha096, alpha120)",long_top/short_bottom,3264,-0.08336442708969116,-0.09432178069216135,0.13002322575770306,-0.7254225554127461,-0.18001306056976318,0.5101102941176471,0.0011908721644431353,-0.0012901823502033949
"gp_max(alpha013, alpha054)",long_top/short_bottom,3264,-0.08046120405197144,-0.09129205723708533,0.12557538763652093,-0.7269900492071822,-0.206368088722229,0.5202205882352942,0.0011168877827003598,-0.0012605182128027081
"gp_mean6(alpha146, alpha049, alpha184, alpha013, alpha013, alpha120)",long_top/short_bottom,3264,-0.08298951387405396,-0.09401446381982637,0.128787229751045,-0.7299983391331819,-0.20822042226791382,0.5061274509803921,0.0011934007052332163,-0.0012725947890430689
"gp_mean2(alpha191, alpha111)",long_top/short_bottom,3264,-0.08509176969528198,-0.09713463261408029,0.12388262367426729,-0.7840860141086674,-0.12619763612747192,0.5180759803921569,0.0010924739763140678,-0.0012270126026123762
"gp_mean2(alpha120, alpha013)",long_top/short_bottom,3264,-0.09147942066192627,-0.10416213991117262,0.13055912661233982,-0.7978158449271345,-0.21926933526992798,0.5033700980392157,0.0011885648127645254,-0.0012596267042681575
"gp_mean5(alpha022, alpha054, alpha120, gp_log(alpha054), alpha165)",long_top/short_bottom,3264,-0.09612005949020386,-0.1091677229163589,0.1358905033253008,-0.8033506407363014,-0.22420859336853027,0.5162377450980392,0.00122497056145221,-0.0013664689613506198
"gp_sub(alpha191, alpha137)",long_top/short_bottom,3264,-0.10386699438095093,-0.11737339794542667,0.14570431339228024,-0.8055588418266099,-0.21820777654647827,0.508578431372549,0.0013529197312891483,-0.0014631650410592556
"gp_mean2(alpha183, alpha191)",long_top/short_bottom,3264,-0.10583078861236572,-0.1203257271974727,0.14122208701828734,-0.8520319288433352,-0.186906099319458,0.5110294117647058,0.0013023657957091928,-0.0014261455507948995
